"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 17","5,860","5,815","5,885","5,810","1.06M","1.03%"
"2024- 04- 16","5,800","5,830","5,850","5,750","2.55M","-1.44%"
"2024- 04- 15","5,885","5,910","5,910","5,860","1.38M","-1.59%"
"2024- 04- 12","5,980","6,035","6,040","5,965","1.71M","-1.32%"
"2024- 04- 11","6,060","6,060","6,080","6,050","1.36M","-1.38%"
"2024- 04- 09","6,145","6,155","6,160","6,135","414.25K","-0.08%"
"2024- 04- 08","6,150","6,160","6,165","6,135","385.22K","-0.24%"
"2024- 04- 05","6,165","6,185","6,195","6,150","609.88K","-0.64%"
"2024- 04- 04","6,205","6,225","6,235","6,200","314.42K","0.00%"
"2024- 04- 03","6,205","6,175","6,210","6,160","504.49K","0.57%"
"2024- 04- 02","6,170","6,150","6,185","6,135","735.59K","-0.48%"
"2024- 04- 01","6,200","6,240","6,250","6,195","483.21K","-0.40%"
"2024- 03- 29","6,225","6,205","6,235","6,190","385.18K","-0.08%"
"2024- 03- 28","6,230","6,200","6,250","6,170","698.82K","-0.08%"
"2024- 03- 27","6,235","6,270","6,275","6,205","1.52M","-0.95%"
"2024- 03- 26","6,295","6,295","6,330","6,270","514.63K","0.24%"
"2024- 03- 25","6,280","6,265","6,330","6,250","1.06M","-0.48%"
"2024- 03- 22","6,310","6,355","6,380","6,280","1.85M","-2.09%"
"2024- 03- 21","6,445","6,370","6,450","6,365","1.19M","2.30%"
"2024- 03- 20","6,300","6,315","6,320","6,290","549.76K","-0.16%"
"2024- 03- 19","6,310","6,325","6,330","6,290","916.07K","-0.71%"
"2024- 03- 18","6,355","6,370","6,375","6,345","330.89K","-0.55%"
"2024- 03- 15","6,390","6,445","6,445","6,380","322.24K","-1.69%"
"2024- 03- 14","6,500","6,545","6,545","6,495","97.82K","-0.54%"
"2024- 03- 13","6,535","6,565","6,585","6,530","206.13K","-0.61%"
"2024- 03- 12","6,575","6,565","6,605","6,550","444.89K","0.00%"
"2024- 03- 11","6,575","6,510","6,580","6,495","505.16K","1.39%"
"2024- 03- 10","6,485","6,485","6,485","6,485","","0.00%"
"2024- 03- 08","6,485","6,435","6,485","6,420","476.29K","1.65%"
"2024- 03- 07","6,380","6,380","6,415","6,370","314.88K","0.39%"
"2024- 03- 06","6,355","6,350","6,365","6,320","354.96K","0.00%"
"2024- 03- 05","6,355","6,375","6,380","6,350","170.23K","-0.47%"
